"1","Finding Dory","PG","97","7.4","2"
"2","Rogue One","PG-13","133","7.9","4"
"3","Captain America: Civil War","PG-13","147","7.9","5"
"4","The Secret Life of Pets","PG","87","6.6","2"
"5","The Jungle Book","PG","106","7.5","5"
"6","Deadpool","R","108","8","1"
"7","Zootopia","PG","108","8.1","2"
"8","Batman v Superman: Dawn of Justice","PG-13","151","6.7","3"
"9","Suicide Squad","PG-13","123","6.2","3"
"10","Doctor Strange","PG-13","115","7.6","5"
"11","Fantastic Beasts and Where to Find Them","PG-13","133","7.4","6"
"12","Moana","PG","107","7.7","2"
"13","Sing","PG","108","7.2","2"
"14","Jason Bourne","PG-13","123","6.7","3"
"15","Star Trek Beyond","PG-13","122","7.1","4"
"16","X-Men: Apocaplypse","PG-13","144","7","4"
"17","Trolls","PG","92","6.5","2"
"18","Kung Fu Panda 3","PG","95","7.2","2"
"19","Ghostbusters","PG-13","116","5.3","2"
"20","Central Intelligence","PG-13","107","6.3","1"
"21","The Legend of Tarzan","PG-13","110","6.3","5"
"22","Sully","PG-13","96","7.5","7"
"23","Bad Moms","R","100","6.2","1"
"24","The Angry Birds Movie","PG","97","6.3","2"
"25","Independence Day: Resurgence","PG-13","120","5.3","4"
"26","Warcraft: The Beginning","PG-13","123","6.9","6"
"27","The Magnificent Seven","PG-13","132","6.9","1"
"28","La La Land","PG-13","128","8.2","8"
"29","Manchester by the Sea","R","137","7.9","7"
"30","Arrival","PG-13","116","8","4"
